id;title;book_image_1;book_image_1_content_type;book_image_2;book_image_2_content_type;book_image_3;book_image_3_content_type;cost;pub_date;inventory_number;product_update;discount
1;Table Fish;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Dynamic programming;2022-02-13T09:02:35;32786;2022-02-13T04:46:21;55036
2;Agent;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;compress state mobile;2022-02-13T09:46:28;26125;2022-02-13T02:10:12;5907
3;Georgia Borders;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;calculating Overpass;2022-02-12T14:04:11;87280;2022-02-13T03:11:03;56683
4;auxiliary Pula Representative;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Optimization calculating Delaware;2022-02-12T23:46:02;3543;2022-02-13T12:28:47;14003
5;Loan Points violet;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;ivory lime;2022-02-12T15:51:30;6687;2022-02-12T17:38:45;35041
6;Consultant Berkshire Jordanian;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;online turn-key Soft;2022-02-12T17:26:14;83632;2022-02-13T03:45:34;47590
7;Chicken;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;backing deposit;2022-02-13T01:02:13;88395;2022-02-13T08:45:58;11906
8;e-business indigo Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Sweden Personal programming;2022-02-12T22:49:16;341;2022-02-13T12:21:56;99953
9;back-end next-generation Marketing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Sleek;2022-02-12T19:11:50;75960;2022-02-12T13:25:44;33491
10;Nebraska South;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;e-tailers functionalities Supervisor;2022-02-12T19:32:06;66665;2022-02-12T23:31:37;2656
