id;order_date;ship_date;ship_state;ship_address;ship_cost
1;2022-02-13T01:31:47;2022-02-13T05:25:49;true;reboot Rupiah payment;67263
2;2022-02-13T11:39:45;2022-02-12T20:22:31;false;upward-trending Borders;39702
3;2022-02-13T01:27:58;2022-02-12T18:27:48;false;Auto Salad open-source;87119
4;2022-02-13T01:50:31;2022-02-12T22:53:18;false;synergize;89808
5;2022-02-12T19:26:49;2022-02-12T20:17:09;true;Slovenia Cotton;14645
6;2022-02-13T09:37:17;2022-02-13T02:28:11;true;Global deposit solid;38593
7;2022-02-12T16:56:55;2022-02-13T08:33:15;true;Response;59271
8;2022-02-12T16:37:03;2022-02-13T10:48:57;true;initiative tan;45390
9;2022-02-13T10:46:03;2022-02-13T06:18:49;true;Table impactful;73672
10;2022-02-13T12:06:46;2022-02-12T20:53:55;true;Health Dam Shoes;95921
